"article","link","contributors","about","year","cited","addonlinks","year"
"Prediction of diabetes using classification algorithms","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:aqlVkmm33-oC","D Sisodia, DS Sisodia","Procedia computer science 132, 1578-1585",", 2018","607","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=147673663341091134","2018"
"Diabetic Retinal Fundus Images: Preprocessing and Feature Extraction For Early Detection of Diabetic Retinopathy","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:Se3iqnhoufwC","Dilip Singh Sisodia, Shruti Nair, Pooja Khobragade","Biomedical  and Pharmacology Journal 10 (2), 615-626",", 2017","100","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3169475183616836453","2017"
"Evaluation of machine learning models for employee churn prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:YOwf2qJgpHMC","DS Sisodia, S Vishwakarma, A Pujahari","2017 international conference on inventive computing and informatics (icici …",", 2017","82","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18187374833718252437","2017"
"Alcohol use disorder detection using EEG Signal features and flexible analytical wavelet transform","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:IWHjjKOFINEC","A Anuragi, DS Sisodia","Biomedical Signal Processing and Control 52, 384-393",", 2019","55","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3315252147672950480","2019"
"Empirical wavelet transform based automated alcoholism detecting using EEG signal features","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:k_IJM867U9cC","A Anuragi, DS Sisodia","Biomedical Signal Processing and Control 57, 101777",", 2020","50","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10052638936178522346","2020"
"Performance evaluation of class balancing techniques for credit card fraud detection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:M3ejUd6NZC8C","DS Sisodia, NK Reddy, S Bhandari","2017 IEEE International Conference on power, control, signals and …",", 2017","50","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16998200200349214577","2017"
"Web usage pattern analysis through web logs: A review","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:u5HHmVD_uO8C","DS Sisodia, S Verma","IEEE International Joint Conference on Computer Science and Software …",", 2012","49","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2116225238116038349","2012"
"Pair-wise preference relation based probabilistic matrix factorization for collaborative filtering in recommender system","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:NMxIlDl6LWMC","A Pujahari, DS Sisodia","Knowledge-Based Systems 196, 105798",", 2020","43","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12869757373148481429","2020"
"Agglomerative approach for identification and elimination of web robots from web server logs to extract knowledge about actual visitors","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:qjMakFHDy7sC","DS Sisodia, S Verma, OP Vyas","Journal of Data Analysis and Information Processing 3 (01), 1",", 2015","40","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8556071592150316740","2015"
"Epileptic-seizure classification using phase-space representation of FBSE-EWT based EEG sub-band signals and ensemble learners","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&citation_for_view=CExet0QAAAAJ:3s1wT3WcHBgC","A Anuragi, DS Sisodia, RB Pachori","Biomedical Signal Processing and Control 71, 103138",", 2022","35","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16307474439896788318","2022"
