"article","link","contributors","about","year","cited","addonlinks","year"
"Cost effective genetic algorithm for workflow scheduling in cloud under deadline constraint","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:ULOm3_A8WrAC","J Meena, M Kumar, M Vardhan","IEEE Access 4, 5065-5082",", 2016","116","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7256829979472215963","2016"
"An adaptive inertia weight teaching-learning-based optimization algorithm and its applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:GnPB-g6toBAC","AK Shukla, P Singh, M Vardhan","Applied Mathematical Modelling 77, 309-326",", 2020","85","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11207887720999310706","2020"
"A new hybrid wrapper TLBO and SA with SVM approach for gene expression data","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:BqipwSGYUEgC","AK Shukla, P Singh, M Vardhan","Information Sciences 503, 238-254",", 2019","61","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=409805474074089056","2019"
"A two-stage gene selection method for biomarker discovery from microarray data for cancer classification","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:iH-uZ7U-co4C","AK Shukla, P Singh, M Vardhan","Chemometrics and Intelligent Laboratory Systems 183, 47-58",", 2018","57","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18091121956076213618","2018"
"A hybrid gene selection method for microarray recognition","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:4JMBOYKVnBMC","AK Shukla, P Singh, M Vardhan","Biocybernetics and Biomedical Engineering 38 (4), 975-991",", 2018","57","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12099178711772952613","2018"
"Distributed ledger technology based property transaction system with support for IoT devices","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:k_IJM867U9cC","N Singh, M Vardhan","International Journal of Cloud Applications and Computing (IJCAC) 9 (2), 60-78",", 2019","48","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4658861598323949456","2019"
"A survey of android application and malware hardening","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:rO6llkc54NcC","V Sihag, M Vardhan, P Singh","Computer Science Review 39, 100365",", 2021","46","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4480874201499986512","2021"
"Gene selection for cancer types classification using novel hybrid metaheuristics approach","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:lSLTfruPkqcC","AK Shukla, P Singh, M Vardhan","Swarm and Evolutionary Computation 54, 100661",", 2020","45","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16024823658323800556","2020"
"A new hybrid feature subset selection framework based on binary genetic algorithm and information theory","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:NMxIlDl6LWMC","AK Shukla, P Singh, M Vardhan","International Journal of Computational Intelligence and Applications 18 (03 …",", 2019","45","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1275413677368394158","2019"
"Implementation of adaptive scheme in evolutionary technique for anomaly-based intrusion detection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:ns9cj8rnVeAC","S Dwivedi, M Vardhan, S Tripathi, AK Shukla","Evolutionary Intelligence 13 (1), 103-117",", 2020","43","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17398222703089410046","2020"
