"article","link","contributors","about","year","cited","addonlinks","year"
"A Power Efficient Dual Link Mesh NoC Architecture to Support Nonuniform Traffic Arbitration at Routing Logic","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:qjMakFHDy7sC","S Yadav, V Laxmi, MS Gaur","29th International Conference on VLSI Design",", 2016","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15064428920867150998","2016"
"Multiple-NoC exploration and customization for energy efficient traffic distribution","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:MXK_kJrjxJIC","S Yadav, V Laxmi, MS Gaur","2020 IFIP/IEEE 28th International Conference on Very Large Scale Integration …",", 2020","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11371543509612526364","2020"
"Improving Static Power Efficiency via Placement of Network Demultiplexer over Control Plane of Router in Multi-NoCs","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:eQOLeE2rZwMC","S Yadav, V Laxmi, MS Gaur, HK Kapoor","Proceedings of the 56th Annual Design Automation Conference 2019, 1-2",", 2019","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14104569775150397886","2019"
"C-DLM: Cache coherence aware dual link mesh for on-chip interconnect","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:2osOgNQ5qMEC","S Yadav, V Laxmi, MS Gaur, M Bhargava","2015 19th International Symposium on VLSI Design and Test, 1-2",", 2015","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=41905821399423387","2015"
"Ns-3 emulation on ORBIT testbed","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:u-x6o8ySG0sC","S Yadav, MS Gaur, V Laxmi","2013 International Conference on Advances in Computing, Communications and …",", 2013","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8710848432077898707","2013"
"CNN-based device-free health monitoring and prediction system using WiFi signals","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:KlAtU1dfN6UC","A Kumar, S Singh, V Rawal, S Garg, A Agrawal, S Yadav","International Journal of Information Technology, 1-13",", 2022","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17571822875374759147","2022"
"Power efficient network selector placement in control plane of multiple networks-on-chip","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:8k81kl-MbHgC","S Yadav, R Raj","The Journal of Supercomputing 78 (5), 6664-6695",", 2022","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9047370795292852374","2022"
"Lightweight message encoding of power-gating controller for on-time wakeup of gated router in network-on-chip","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:0EnyYjriUFMC","S Yadav, HK Kapoor","2019 9th International symposium on embedded computing and system design …",", 2019","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9911112962219035523","2019"
"A Power Efficient Crossbar Arbitration in Multi-NoC for Multicast and Broadcast Traffic","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:YsMSGLbcyi4C","S Yadav, V Laxmi, HK Kapoor, MS Gaur, M Zwolinski","2018 IEEE International Symposium on Smart Electronic Systems (iSES …",", 2018","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3337592482440264088","2018"
"Interconnect Paradigm Shift Towards Networks-on-Chip in Manycore Processors: A Review on Challenges","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:Zph67rFs4hoC","S Yadav","Soft Computing: Theories and Applications: Proceedings of SoCTA 2021, 685-695",", 2022","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9124307961284697647","2022"
"A Study on Requests Serialization in Directory-Based Protocol for MESI Cache Coherence Protocol","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:kNdYIx-mwKoC","S Yadav","Soft Computing: Theories and Applications: Proceedings of SoCTA 2021, 761-768",", 2022","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12196540697760511962","2022"
"A power, thermal and reliability-aware network-on-chip","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:W7OEmFMy1HYC","A Sharma, Y Gupta, S Yadav, L Bhargava, MS Gaur, V Laxmi","2017 IEEE International Symposium on Nanoelectronic and Information Systems …",", 2017","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=661507038643996692","2017"
"Fault tolerant adaptive XY routing for HPC mesh","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:9yKSN-GCB0IC","S Yadav, MS Gaur, V Laxmi, S Sharma, S Shiwani","2014 9th International Conference on Industrial and Information Systems …",", 2014","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5448140177214257333","2014"
"Dynamic fault injection model for on-chip 2D mesh network","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:d1gkVwhDpl0C","S Yadav, MS Gaur, V Laxmi, M Bhargava","Proceedings of the 7th ACM India Computing Conference, 1-6",", 2014","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9230230694217059614","2014"
"Energy scavenging based HybridGSM model for mobile towers","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:u5HHmVD_uO8C","S Yadav, MS Gaur, V Laxmi","Recent Advances in Intelligent Informatics: Proceedings of the Second …",", 2014","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12032280437463431189","2014"
"Real-time interception performance evaluation of certain proportional navigation based guidance laws in aerial ground engagement","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:3fE2CSJIrl8C","A Kumar, A Ojha, S Yadav, A Kumar","Intelligent Service Robotics 15 (1), 95-114",", 2022","","https://scholar.google.com/citations?user=NKe86HMAAAAJ&hl=en&oi=ao","2022"
"Stable and efficient task assignment to pairs","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:hqOjcs7Dif8C","A Nicolo, P Salmaso, A Sen, S Yadav","","","","https://scholar.google.com/citations?user=NKe86HMAAAAJ&hl=en&oi=ao","2019"
"Multiple NoC based Custom Implementation and Traffic Distribution to attain Energy Efficient CMPs","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=NKe86HMAAAAJ&citation_for_view=NKe86HMAAAAJ:WF5omc3nYNoC","S Yadav, V Laxmi, MS Gaur","2019 Design, Automation & Test in Europe (DATE), PhD Forum ACM-SIGDA/IEEE …",", 2019","","https://scholar.google.com/citations?user=NKe86HMAAAAJ&hl=en&oi=ao","2019"
