"article","link","contributors","about","year","cited","addonlinks","year"
"Extra-tree classifier with metaheuristics approach for email classification","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:YsMSGLbcyi4C","A Sharaff, H Gupta","Advances in Computer Communication and Computational Sciences: Proceedings …",", 2019","106","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13388180632796923343","2019"
"SMS spam filtering and thread identification using bi-level text classification and clustering techniques","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:u5HHmVD_uO8C","NK Nagwani, A Sharaff","Journal of Information Science 43 (1), 75-87",", 2017","60","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9594462571816133356","2017"
"Comparative study of classification algorithms for spam email detection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:d1gkVwhDpl0C","A Sharaff, NK Nagwani, A Dhadse","Emerging Research in Computing, Information, Communication and Applications …",", 2016","41","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13138111038766468789","2016"
"Sentiment analysis of customer reviews based on hidden markov model","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:9yKSN-GCB0IC","S Soni, A Sharaff","Proceedings of the 2015 International Conference on Advanced Research in …",", 2015","38","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3371138586856737240","2015"
"Email thread identification using latent Dirichlet allocation and non-negative matrix factorization based clustering techniques","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:u-x6o8ySG0sC","A Sharaff, NK Nagwani","Journal of Information Science 42 (2), 200-212",", 2016","31","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7112089415973423014","2016"
"Comparative analysis of temperature prediction using regression methods and back propagation neural network","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:roLk4NBRz8UC","A Sharaff, SR Roy","2018 2nd international conference on trends in electronics and informatics …",", 2018","27","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12705839070332513374","2018"
"Comparative analysis of various stock prediction techniques","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:LkGwnXOMwfcC","A Sharaff, M Choudhary","2018 2nd International conference on trends in electronics and informatics …",", 2018","18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10007563936399393336","2018"
"Impact of feature selection technique on email classification","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:UeHWp8X0CEIC","A Sharaff, NK Nagwani, K Swami","Int. J. Knowl. Eng 1 (1), 59-63",", 2015","16","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10162016244874033599","2015"
"ML-EC2: an algorithm for multi-label email classification using clustering","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:WF5omc3nYNoC","A Sharaff, NK Nagwani","International Journal of Web-Based Learning and Teaching Technologies …",", 2020","14","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8086999643728359541","2020"
"Analysing fuzzy based approach for extractive text summarization","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:UebtZRa9Y70C","A Sharaff, AS Khaire, D Sharma","2019 International conference on intelligent computing and control systems …",", 2019","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17084485108268851680","2019"
"Spam detection in SMS based on feature selection Techniques","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:W7OEmFMy1HYC","A Sharaff","Emerging Technologies in Data Mining and Information Security: Proceedings …",", 2019","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14097978200061793773","2019"
"Document Summarization by Agglomerative nested clustering approach","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:zYLM7Y9cAGgC","A Sharaff, H Shrawgi, P Arora, A Verma","2016 IEEE International Conference on Advances in Electronics, Communication …",", 2016","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2567146311407651390","2016"
"An enhanced authentication scheme for Internet of Things and cloud based on elliptic curve cryptography","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:_kc_bZDykSQC","P Bhuarya, P Chandrakar, R Ali, A Sharaff","International Journal of Communication Systems 34 (10), e4834",", 2021","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2151847839522873983","2021"
"Towards classification of email through selection of informative features","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:8k81kl-MbHgC","A Sharaff, U Srinivasarao","2020 First International Conference on Power, Control and Computing …",", 2020","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15382474215480389838","2020"
"Feature based cluster ranking approach for single document summarization","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:HDshCWvjkbEC","A Sharaff, M Jain, G Modugula","International Journal of Information Technology 14 (4), 2057-2065",", 2022","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2522559753094884328","2022"
"Spam message detection using Danger theory and Krill herd optimization","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:ZeXyd9-uunAC","A Sharaff, C Kamal, S Porwal, S Bhatia, K Kaur, MM Hassan","Computer Networks 199, 108453",", 2021","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1858987017780235417","2021"
"Sentiment analysis from email pattern using feature selection algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:hC7cP41nSMkC","U Srinivasarao, A Sharaff","Expert Systems, e12867",", 2021","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2865517213651984817","2021"
"Personalized recommendation system with user interaction based on LMF and popularity model","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:KlAtU1dfN6UC","A Sharaff, S Khurana, K Cheepurupalli, T Sahu","2020 international conference on system, computation, automation and …",", 2020","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16884398432610198886","2020"
"Feature Fusion based Growth Analysis of Chhattisgarh Rice Plants using Machine Learning Technique","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=c8_w41EAAAAJ&citation_for_view=c8_w41EAAAAJ:5nxA0vEk-isC","B Patel, A Sharaff","2020 7th International Conference on Signal Processing and Integrated …",", 2020","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13455286547389716630","2020"
