"article","link","contributors","about","year","cited","addonlinks","year"
"An empirical analysis of machine learning algorithms for crime prediction using stacked generalization: An ensemble approach","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:8k81kl-MbHgC","SS Kshatri, D Singh, B Narain, S Bhatia, MT Quasim, GR Sinha","IEEE Access 9, 67488-67500",", 2021","53","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12241803099678444574","2021"
"Realising transfer learning through convolutional neural network and support vector machine for mental task classification","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:Se3iqnhoufwC","D Singh, S Singh","Electronics Letters 56 (25), 1375-1378",", 2020","15","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15286344357785044310","2020"
"Deep transfer learning framework for the identification of malicious activities to combat cyberattack","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:MXK_kJrjxJIC","D Singh, A Shukla, M Sajwan","Future Generation Computer Systems 125, 687-697",", 2021","14","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6047573622497941077","2021"
"Compositional framework for multitask learning in the identification of cleavage sites of HIV-1 protease","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:roLk4NBRz8UC","D Singh, DS Sisodia, P Singh","Journal of Biomedical Informatics 102, 103376",", 2020","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16215662855784742413","2020"
"Binary particle swarm optimization with crossover operation for discrete optimization","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:u5HHmVD_uO8C","D Singh, V Singh, U Ansari","International Journal of Computer Applications 28 (11), 15-20",", 2011","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15390208950571720752","2011"
"Evolutionary based optimal ensemble classifiers for HIV-1 protease cleavage sites prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:Tyk-4Ss8FVUC","D Singh, P Singh, DS Sisodia","Expert Systems with Applications 109, 86-99",", 2018","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5946760417383421590","2018"
"RGBCA-genetic bee colony algorithm for travelling salesman problem","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:d1gkVwhDpl0C","R Tiwari, D Singh, A Shukla","2011 World Congress on Information and Communication Technologies, 1002-1008",", 2011","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7484442511955316410","2011"
"Evolutionary based ensemble framework for realizing transfer learning in HIV-1 Protease cleavage sites prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:eQOLeE2rZwMC","D Singh, P Singh, DS Sisodia","Applied Intelligence 49, 1260-1282",", 2019","7","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7078213530379209830","2019"
"Multi-Objective Evolutionary Approach for the Performance Improvement of Learners Using Ensembling Feature selection and Discretization Technique on Medical Data","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:YsMSGLbcyi4C","D Singh, D Singh Sisodia, P Singh","Current Medical Imaging Reviews",", 2018","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8828213916273581086","2018"
"Compositional model based on factorial evolution for realizing multi-task learning in bacterial virulent protein prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HsF-ogAAAAJ&citation_for_view=2HsF-ogAAAAJ:LkGwnXOMwfcC","D Singh, P Singh, DS Sisodia","Artificial Intelligence in Medicine 101, 101757",", 2019","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16545088533664970322","2019"
