"article","link","contributors","about","year","cited","addonlinks","year"
"Classification and scheduling of information-centric IoT applications in cloud-fog computing architecture (CS_IcIoTA)","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:W7OEmFMy1HYC","KJ Naik","2020 14th International Conference on Innovations in Information Technology …",", 2020","19","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6479269216072073940","2020"
"A model for analysis of IoT based aquarium water quality data using CNN model","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:mVmsd5A6BfQC","AP Gopi, KJ Naik","2021 international conference on decision aid sciences and application (DASA …",", 2021","18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4799858251513912700","2021"
"A novel fault-tolerant task scheduling algorithm for computational grids","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:qjMakFHDy7sC","KJ Naik, N Satyanarayana","2013 15th International Conference on Advanced Computing Technologies (ICACT …",", 2013","18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17363171222248184706","2013"
"Minimizing deadline misses and total run-time with load balancing for a connected car systems in fog computing","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:Y0pCki6q_DkC","KJ Naik, DH Naik","Scalable Computing: Practice and Experience 21 (1), 73-84",", 2020","16","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13630835916674298220","2020"
"Scheduling tasks on most suitable fault tolerant resource for execution in computational grid","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:d1gkVwhDpl0C","KJ Naik, KV Kumar, N Satyanarayana","International Journal of Grid and Distributed Computing 5 (3), 121-132",", 2012","16","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6302160876505528854","2012"
"Video Classification Using 3D  Convolutional Neural Network","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:3fE2CSJIrl8C","AS K Jairam Naik","Advancements in Security and Privacy Initiatives for Multimedia Images, 1-18",", 2021","13","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15887710423957479911","2021"
"Workflow scheduling optimisation for distributed environment using artificial neural networks and reinforcement learning","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:4DMP91E08xMC","KJ Naik, M Pedagandam, A Mishra","International Journal of Computational Science and Engineering 24 (6), 653-670",", 2021","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4421033087898504067","2021"
"A novel algorithm for fault tolerant job Scheduling and load balancing in grid computing environment","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:0EnyYjriUFMC","KJ Naik, A Jagan, NS Narayana","2015 International Conference on Green Computing and Internet of Things …",", 2015","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17717238398814272463","2015"
"A processing delay tolerant workflow management in cloud-fog computing environment (DTWM_CfS)","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:YsMSGLbcyi4C","KJ Naik","2020 International Conference on Decision Aid Sciences and Application (DASA …",", 2020","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8959550852343184944","2020"
"A co-scheduling system for fog-node recommendation and load management in cloud-fog environment (CoS_FRLM)","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:eQOLeE2rZwMC","KJ Naik","2020 International Conference on Data Analytics for Business and Industry …",", 2020","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7820924942382912568","2020"
"A dynamic ACO-based elastic load balancer for cloud computing (D-ACOELB)","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:zYLM7Y9cAGgC","K Jairam Naik","Data Engineering and Communication Technology: Proceedings of 3rd ICDECT …",", 2020","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17152775746321486278","2020"
"A group tasks scheduling algorithm for cloud computing network based on QoS","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:IjCSPb-OGe4C","KJ Naik, B Vidhya","International Journal of Engineering & Technology 7 (6), 53-59",", 2018","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14888811281421969484","2018"
"Filter Selection for  Speaker Diarization Using  Homomorphism: Speaker Diarization","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:MXK_kJrjxJIC","AM K. Jairam Naik","Filter Selection for  Speaker Diarization Using  Homomorphism: Speaker …",", 2021","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8499336343551201670","2021"
"A cloud-fog computing system for classification and scheduling the information-centric IoT applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:_FxGoFyzp5QC","KJ Naik","International Journal of Communication Networks and Distributed Systems 27 …",", 2021","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11350255445276682697","2021"
"Optimized Genetic Algorithm for Efficient Allocation of Virtualized Resource in Cloud (OGA_EAVRC)","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:WF5omc3nYNoC","KJ Naik","2021 International Conference on Artificial Intelligence and Smart Systems …",", 2021","7","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8074908581432474854","2021"
"Dynamic workflow scheduling in the cloud using a neural network-based multi-objective evolutionary algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:LkGwnXOMwfcC","KJ Naik, S Chandra, P Agarwal","International Journal of Communication Networks and Distributed Systems 27 …",", 2021","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15849208619326833432","2021"
"A deadline-based elastic approach for balanced task scheduling in computing cloud environment","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:Wp0gIr-vW9MC","KJ Naik","International Journal of Cloud Computing 10 (5-6), 579-602",", 2021","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12206515114332235731","2021"
