"article","link","contributors","about","year","cited","addonlinks","year"
"Analysis and study of incremental k-means clustering algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:IjCSPb-OGe4C","S Chakraborty, NK Nagwani","High Performance Architecture and Grid Computing: International Conference …",", 2011","105","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9069122909412061715","2011"
"Summarizing large text collection using topic modeling and clustering based on MapReduce framework","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:mVmsd5A6BfQC","NK Nagwani","Journal of Big Data 2 (1), 6",", 2015","87","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13580294239830185326","2015"
"Performance comparison of incremental k-means and incremental dbscan algorithms","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:2osOgNQ5qMEC","S Chakraborty, NK Nagwani, L Dey","arXiv preprint arXiv:1406.4751",", 2014","83","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4504534642537435077","2014"
"SMS spam filtering and thread identification using bi-level text classification and clustering techniques","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:-f6ydRqryjwC","NK Nagwani, A Sharaff","Journal of Information Science 43 (1), 75-87",", 2017","60","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9594462571816133356","2017"
"A frequent term and semantic similarity based single document text summarization algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:5nxA0vEk-isC","NK Nagwani, S Verma","International Journal of Computer Applications 17 (2), 36-40",", 2011","58","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9470650540464526812","2011"
"Comparative study of classification algorithms for spam email detection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:L8Ckcad2t8MC","A Sharaff, NK Nagwani, A Dhadse","Emerging Research in Computing, Information, Communication and Applications …",", 2016","41","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13138111038766468789","2016"
"Analysis and study of Incremental DBSCAN clustering algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:P5F9QuxV20EC","S Chakraborty, NK Nagwani","arXiv preprint arXiv:1406.4754",", 2014","39","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16069840198106181686","2014"
"Weather forecasting using incremental K-means clustering","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:kNdYIx-mwKoC","S Chakraborty, NK Nagwani, L Dey","arXiv preprint arXiv:1406.4756",", 2014","37","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10450457407675913509","2014"
"An object oriented email clustering model using weighted similarities between emails attributes","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:u5HHmVD_uO8C","NK Nagwani, A Bhansali","International Journal of research and reviews in Computer Science 1 (2), 1",", 2010","35","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6818261860791749285","2010"
"Selecting best answer: An empirical analysis on community question answering sites","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9_TJhGEAAAAJ&citation_for_view=9_TJhGEAAAAJ:_Qo2XoVZTnwC","TP Sahu, NK Nagwani, S Verma","IEEE Access 4, 4797-4808",", 2016","34","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8205947642096536976","2016"
