"article","link","contributors","about","year","cited","addonlinks","year"
"An adaptive inertia weight teaching-learning-based optimization algorithm and its applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:lmc2jWPfTJgC","AK Shukla, P Singh, M Vardhan","Applied Mathematical Modelling 77, 309-326",", 2020","85","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11207887720999310706","2020"
"Fuzzy rule-based approach for software fault prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:uWQEDVKXjbEC","P Singh, NR Pal, S Verma, OP Vyas","IEEE Transactions on Systems, Man, and Cybernetics: Systems 47 (5), 826-837",", 2016","81","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15220167459697759056","2016"
"A new hybrid wrapper TLBO and SA with SVM approach for gene expression data","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:MLfJN-KU85MC","AK Shukla, P Singh, M Vardhan","Information Sciences 503, 238-254",", 2019","61","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=409805474074089056","2019"
"A two-stage gene selection method for biomarker discovery from microarray data for cancer classification","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:hMsQuOkrut0C","AK Shukla, P Singh, M Vardhan","Chemometrics and Intelligent Laboratory Systems 183, 47-58",", 2018","57","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18091121956076213618","2018"
"A hybrid gene selection method for microarray recognition","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:L7CI7m0gUJcC","AK Shukla, P Singh, M Vardhan","Biocybernetics and Biomedical Engineering 38 (4), 975-991",", 2018","57","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12099178711772952613","2018"
"Stacking-based multi-objective evolutionary ensemble framework for prediction of diabetes mellitus","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:kz9GbA2Ns4gC","N Singh, P Singh","Biocybernetics and Biomedical Engineering 40 (1), 1-22",", 2020","53","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15274561847227301200","2020"
"A survey of android application and malware hardening","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:86PQX7AUzd4C","V Sihag, M Vardhan, P Singh","Computer Science Review 39, 100365",", 2021","46","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4480874201499986512","2021"
"Gene selection for cancer types classification using novel hybrid metaheuristics approach","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:S16KYo8Pm5AC","AK Shukla, P Singh, M Vardhan","Swarm and Evolutionary Computation 54, 100661",", 2020","45","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16024823658323800556","2020"
"A new hybrid feature subset selection framework based on binary genetic algorithm and information theory","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:tuHXwOkdijsC","AK Shukla, P Singh, M Vardhan","International Journal of Computational Intelligence and Applications 18 (03 …",", 2019","45","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1275413677368394158","2019"
"A rule extraction approach from support vector machines for diagnosing hypertension among diabetics","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:kuK5TVdYjLIC","N Singh, P Singh, D Bhagat","Expert Systems with Applications 130, 188-205",", 2019","43","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3331778880436328587","2019"
"De-LADY: Deep learning based Android malware detection using Dynamic features.","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:kh2fBNsKQNwC","V Sihag, M Vardhan, P Singh, G Choudhary, S Son","J. Internet Serv. Inf. Secur. 11 (2), 34-45",", 2021","34","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17811523810774335099","2021"
"A hybrid ensemble-filter wrapper feature selection approach for medical data classification","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:bz8QjSJIRt4C","N Singh, P Singh","Chemometrics and Intelligent Laboratory Systems 217, 104396",", 2021","33","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6397721581218050044","2021"
"Empirical investigation of fault prediction capability of object oriented metrics of open source software","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:O3NaXMp0MMsC","P Singh, S Verma","2012 Ninth International Conference on Computer Science and Software …",", 2012","29","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12049221386896364120","2012"
"A hybrid framework for optimal feature subset selection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:gsN89kCJA0AC","AK Shukla, P Singh, M Vardhan","Journal of Intelligent & Fuzzy Systems 36 (3), 2247-2259",", 2019","28","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17188016150695515943","2019"
"Survey of density based clustering algorithms and its variants","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&citation_for_view=Pg36s_QAAAAJ:AXPGKjj_ei8C","P Singh, PA Meshram","2017 International Conference on Inventive Computing and Informatics (ICICI …",", 2017","27","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7406858713848495506","2017"
