"article","link","contributors","about","year","cited","addonlinks","year"
"A model for sentiment and emotion analysis of unstructured social media text","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:zYLM7Y9cAGgC","JK Rout, KKR Choo, AK Dash, S Bakshi, SK Jena, KL Williams","Electronic Commerce Research, 1-19",", 2017","172","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4064076866299082168","2017"
"Revisiting semi-supervised learning for online deceptive review detection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:IjCSPb-OGe4C","JK Rout, A Dalmia, KKR Choo, S Bakshi, SK Jena","IEEE access 5, 1319-1327",", 2017","131","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16876154470273436113","2017"
"Deceptive review detection using labeled and unlabeled data","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:2osOgNQ5qMEC","JK Rout, S Singh, SK Jena, S Bakshi","Multimedia Tools and Applications 76, 3187-3211",", 2017","79","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10607224678520761273","2017"
"Review spam detection using opinion mining","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:W7OEmFMy1HYC","R Narayan, JK Rout, SK Jena","Progress in Intelligent Computing Techniques: Theory, Practice, and …",", 2018","32","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18054240356593874743","2018"
"Review spam detection using semi-supervised technique","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:Tyk-4Ss8FVUC","R Narayan, JK Rout, SK Jena","Progress in Intelligent Computing Techniques: Theory, Practice, and …",", 2018","28","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2623872531410943874","2018"
"An ensemble-based scalable approach for intrusion detection using big data framework","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:qxL8FJ1GzNcC","SK Sahu, DP Mohapatra, JK Rout, KS Sahoo, AK Luhach","Big Data 9 (4), 303-321",", 2021","22","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12571068643728048076","2021"
"A framework for fake review detection: issues and challenges","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:LkGwnXOMwfcC","JK Rout, AK Dash, NK Ray","2018 international conference on information technology (ICIT), 7-10",", 2018","21","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2109413408371624410","2018"
"A LSTM-FCNN based multi-class intrusion detection using scalable framework","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:ZeXyd9-uunAC","SK Sahu, DP Mohapatra, JK Rout, KS Sahoo, QV Pham, NN Dao","Computers and Electrical Engineering 99, 107720",", 2022","20","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5566197842331597674","2022"
"Teaching–learning optimization based cascaded low-complexity neural network model for exchange rates forecasting","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:UebtZRa9Y70C","M Rout, AK Jena, JK Rout, H Das","Smart Intelligent Computing and Applications: Proceedings of the Third …",", 2020","16","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2160700715814666246","2020"
"A group based time quantum round robin algorithm using min-max spread measure","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kWDOTCUAAAAJ&citation_for_view=kWDOTCUAAAAJ:u5HHmVD_uO8C","SK Panda, D Dash, JK Rout","arXiv preprint arXiv:1403.0335",", 2014","14","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16480844971208675073","2014"
