"article","link","contributors","about","year","cited","addonlinks","year"
"EOMR: An energy-efficient optimal multi-path routing protocol to improve QoS in wireless sensor network for IoT applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:6bLC7aUMtPcC","K Jaiswal, V Anand","Wireless Personal Communications 111, 2493-2515",", 2020","81","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16378954820611312163","2020"
"Fault resilient routing based on moth flame optimization scheme for underwater wireless sensor networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:Br1UauaknNIC","S Kumari, PK Mishra, V Anand","Wireless Networks 26 (2), 1417-1431",", 2020","31","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14578991551866476308","2020"
"New approach of GA–PSO‐based clustering and routing in wireless sensor networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:DBa1UEJaJKAC","V Anand, S Pandey","International Journal of Communication Systems 33 (16), e4571",", 2020","30","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16749420306377596359","2020"
"Predicting outcomes of legal cases based on legal factors using classifiers","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:NDuN12AVoxsC","RA Shaikh, TP Sahu, V Anand","Procedia Computer Science 167, 2393-2402",", 2020","29","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4403165864842783369","2020"
"Random forest learning based indoor localization as an IoT service for smart buildings","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:jFemdcug13IC","PS Varma, V Anand","Wireless Personal Communications 117, 3209-3227",", 2021","28","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14955926142777064925","2021"
"A grey-wolf based optimized clustering approach to improve qos in wireless sensor networks for iot applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:jE2MZjpN3IcC","K Jaiswal, V Anand","Peer-to-Peer Networking and Applications 14, 1943-1962",", 2021","27","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16002879149907294267","2021"
"A survey on IoT-based healthcare system: potential applications, issues, and challenges","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:q-HalDI95KYC","K Jaiswal, V Anand","Advances in Biomedical Engineering and Technology: Select Proceedings of …",", 2021","25","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17832913262019426099","2021"
"An optimal QoS-aware multipath routing protocol for IoT based wireless sensor networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:-mN3Mh-tlDkC","K Jaiswal, V Anand","2019 3rd international conference on electronics, communication and …",", 2019","19","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1396721740335078677","2019"
"A QoS aware optimal node deployment in wireless sensor network using Grey wolf optimization approach for IoT applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:MAUkC_7iAq8C","K Jaiswal, V Anand","Telecommunication Systems 78, 559-576",", 2021","18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15291605543036697678","2021"
"Particle swarm optimization and harmony search based clustering and routing in wireless sensor networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:OTTXONDVkokC","V Anand, S Pandey","International Journal of Computational Intelligence Systems 10 (1), 1252-1262",", 2017","15","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13728384786502040723","2017"
"An energy efficient approach to extend network life time of wireless sensor networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:PYBJJbyH-FwC","V Anand, D Agrawal, P Tirkey, S Pandey","Procedia Computer Science 92, 425-430",", 2016","14","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2032156276199635959","2016"
"Integrated load balancing and void healing routing with Cuckoo search optimization scheme for underwater wireless sensor networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:prdVHNxh-e8C","S Kumari, PK Mishra, V Anand","Wireless Personal Communications 111, 1787-1803",", 2020","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17253297812214051584","2020"
"Performance of AODV, DSR and DSDV Protocols under varying node movement","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:jU7OWUQzBzMC","V Anand, SC Gupta","2012 World Congress on Information and Communication Technologies, 50-55",", 2012","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6247404418096149919","2012"
"FAGWO-H: A hybrid method towards fault-tolerant cluster-based routing in wireless sensor network for IoT applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:OBSaB-F7qqsC","K Jaiswal, V Anand","The Journal of Supercomputing 78 (8), 11195-11227",", 2022","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15810043851855862026","2022"
"Fault-Tolerant indoor localization based on speed conscious recurrent neural network using Kullback–Leibler divergence","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:QyXJ3EUuO1IC","PS Varma, V Anand","Peer-to-peer networking and applications 15 (3), 1370-1384",", 2022","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2549221428569111154","2022"
"Load-Balanced Clustering Scheme with Sink Mobility for Heterogeneous Wireless Sensor Networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:W5xh706n7nkC","S Pandey, V Anand","National Academy science letters 40, 335-341",", 2017","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8664401279825343087","2017"
"Indoor localization for IoT applications: review, challenges and manual site survey approach","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:HGTzPopzzJcC","PS Varma, V Anand","2021 IEEE Bombay Section Signature Conference (IBSSC), 1-6",", 2021","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9544305444580527363","2021"
